Food group,Food name,Quantity,Is fortified with,ENERCJ (kJ),ENERCC (kcal),WATER (g),PROT (g),PROTPL (g),PROTAN (g),NT (g),TRP (mg),FAT (g),FACID (g),FASAT (g),FAMSCIS (g),FAPU (g),FAPUN3 (g),FAPUN6 (g),FATRS (g),CHO (g),SUGAR (g),STARCH (g),POLYL (g),FIBT (g),ALC (g),OA (g),ASH (g),CHORL (mg),NA (mg),K (mg),CA (mg),P (mg),MG (mg),FE (mg),HAEM (mg),NHAEM (mg),CU (mg),SE (µg),ZN (mg),ID (µg),VITA_RAE (µg),VITA_RE (µg),RETOL (µg),CARTBTOT (µg),CARTA (µg),LUTN (µg),ZEA (µg),CRYPXB (µg),LYCPN (µg),VITD (µg),CHOCALOH (µg),CHOCAL (µg),ERGCAL (µg),VITE (mg),TOCPHA (mg),TOCPHB (mg),TOCPHD (mg),TOCPHG (mg),VITK (µg),VITK1 (µg),VITK2 (µg),THIA (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),NIAEQ (mg),NIA (mg),FOL (µg),FOLFD (µg),FOLAC (µg),VITC (mg),F4:0 (g),F6:0 (g),F8:0 (g),F10:0 (g),F11:0 (g),F12:0 (g),F13:0 (g),F14:0 (g),F15:0 (g),F16:0 (g),F17:0 (g),F18:0 (g),F19:0 (g),F20:0 (g),F21:0 (g),F22:0 (g),F23:0 (g),F24:0 (g),F25:0 (g),F26:0 (g),FASATXR (g),F10:1CIS (g),F12:1CIS (g),F14:1CIS (g),F16:1CIS (g),F18:1CIS (g),F20:1CIS (g),F22:1CIS (g),F24:1CIS (g),FAMSCXR (g),F18:2CN6 (g),F18:2CN9 (g),F18:2CT (g),F18:2TC (g),F18:2R (g),F18:3CN3 (g),F18:3CN6 (g),F18:4CN3 (g),F20:2CN6 (g),F20:3CN9 (g),F20:3CN6 (g),F20:3CN3 (g),F20:4CN6 (g),F20:4CN3 (g),F20:5CN3 (g),F21:5CN3 (g),F22:2CN6 (g),F22:2CN3 (g),F22:3CN3 (g),F22:4CN6 (g),F22:5CN6 (g),F22:5CN3 (g),F22:6CN3 (g),F24:2CN6 (g),FAPUXR (g),F10:1TRS (g),F12:1TRS (g),F14:1TRS (g),F16:1TRS (g),F18:1TRS (g),F18:2TTN6 (g),F18:3TTTN3 (g),F20:1TRS (g),F20:2TT (g),F22:1TRS (g),F24:1TRS (g),FAMSTXR (g),FAUN (g)
Meat and poultry,Pheasant whole raw,per 100g,,934,223,57,31,0,31,,,11,10.3,3.7,5.1,1.4,0,1.4,,0,0,0,0,0,0,,,109,100,400,50,300,,8,3.1,4.9,,,,8,50,50,50,0,,,,,,,,,0,,,,,,,,,0.04,0.07,0.379,3,,0,20,20,0,0,0,0,0,0,,0,,0.05,0,2.48,0.03,1.11,,0,,0,,0,,,,,,0,0.54,4.24,0.03,0.32,,0,1.38,,,,,0,,0,0,,,,,,0,,,,0,0,,,0,,0,,,,,,,,,,,,,0.17
Savoury snacks,Sausage Dutch Frikandel deep-fried in liquid fat,per 100g,,1044,251,56,13.8,0.7,13.1,2.2,155,18.4,17.1,5.8,7.6,3.5,0.3,3.2,0,6.7,0.9,5.8,0,1.8,0,,3.3,74,1012,214,108,210,28,2.1,0.5,1.6,0.09,8,1.5,0,25,26,25,4,,,,,,0.4,0,0.3,0,1.5,1.5,0,0,0.3,30.4,2.4,28,0.13,0.12,0.086,0.54,6.4,3.8,16,16,0,1,,,0.01,0.02,,0.23,,0.32,0.02,3.84,0.03,1.33,,0.03,0,0,0,0.01,,,,,,0.03,0.53,6.93,0.08,0,0.02,0.03,3.09,,,,,0.25,0,,0.05,,0.02,0.01,0.05,,0,,,,,,,0.01,0.01,,,,,,,0.03,,,,,,,,0.16
Meat and poultry,Sausage smoked cooked av,per 100g,,1261,304,53.6,14.1,0,14.1,,95,26.3,25,9.6,11.8,3.4,0.3,2.9,0.1,2.6,0.3,2.4,0,0.5,0,,1.7,56,868,395,22,234,16,1.3,0.5,0.8,0.08,12,2.45,5.2,20,21,20,5,0,0,0,1,0,0.4,0.2,0.3,,0.7,0.6,0.2,0,0,,,,0.29,0.12,0.085,0.78,6.2,4.6,1.7,1.7,0,25,0,0,0,0.03,0,0.03,0,0.36,0.04,5.95,0.1,3.02,0,0.05,,0,0,0,,,,,0,0.02,0.62,10.88,0.19,0,0,0.07,2.76,,,,,0.27,0,0,0.12,,,,0.08,0.07,0.01,0,,,,,,,0,,0.07,,,,,0.08,0.01,,,,,,,0.2
Savoury snacks,Croquette meat ragout deep-fried in liquid fat,per 100g,,1136,272,50,8.9,3.6,5.3,1.4,92,16.6,15.6,5.7,6.3,3.5,0.2,3.3,0,20.9,2.6,18.3,0,1.9,0,,1.7,14,545,115,15,84,17,1.2,0.4,0.8,0.09,4,1.2,0,14,14,14,,,,,,,0,0,0,0,3.5,3.4,0,0.2,0.7,10.9,9.8,1.1,0.09,0.06,0.034,0.34,2.5,1,8.8,8.8,0,0,,,0.04,0.03,,0.04,,0.15,0.01,4.61,0.02,0.69,,0.04,0.01,0.04,0,0.03,,,,,,0.01,0.06,6.21,0.03,0,0,0.01,3.25,,,,,0.25,0.01,,0,,0,0,0.01,,0,,,,,,,0,0,,,,,,,0.03,,,,,,,,0.04
Cold meat cuts,Ham smoked raw,per 100g,,789,188,58.6,24.6,0,24.6,,301,9.5,9,3.5,4.4,0.9,0.1,0.8,0,1.2,0.3,0.9,0,0,0,0,6.3,61,1917,717,5,259,29,0.9,0.6,0.3,0.08,17,2.3,2.5,1,1,1,1,0,0,0,0,1,0.4,0.1,0.2,0,0.4,0.4,0,0,0,,,,0.93,0.17,0.399,0.61,16.5,11.4,0,0,0,4,0,0.01,0,0.01,0,0.02,0,0.14,0.01,2.14,0,1.16,0.01,0.02,,0,0,0,,,,,0,0,0.26,3.93,0.18,0,0,0.04,0.68,,,,,0.06,0.01,0,0.04,,,,0.03,0.04,0.01,0,,,,,,,0,,0.07,,,,,0,0,,,,,,,0.16
Meat and poultry,Turkey raw,per 100g,,593,141,72,21.8,0,21.8,,,6,5,1.7,2,1.3,0.1,1.2,0.1,0,0,0,0,0,0,,,60,66,348,6,218,26,2,0.8,1.2,0.02,10,1.94,6,17,17,17,1,0,,,0,,0.5,,0.5,0,0.1,0.1,,,,,,,0.08,0.17,0.519,2.44,,6,17,17,0,3,,,,,,0.02,,0.06,0.01,1.17,,0.41,,0.01,,0,,,,,,,,,0.29,1.73,,0.01,,0,1.19,,,,,0.11,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,0
Cold meat cuts,Liver ox boiled (processed meat product),per 100g,,559,133,71,20,0,20,,,5,3.8,2.2,1,0.4,0.1,0.3,0.1,2,0,2,0,0,0,,,300,906,300,10,225,19,8.1,1.7,6.3,2.3,50,0.5,6.4,11483,11410,11410,870,,,,,,4.3,0.8,3.5,0,0.4,,,,,,,,0.21,3,0.35,98,,10,468.3,468.3,0,15,0,0,0.01,0.01,0,0.05,0,0.07,0.02,0.81,0.03,1.13,0,0,0,0.05,0.02,0.02,0,0,0,0,0,0.01,0.07,0.89,0,0,0.01,0,0.22,0,0,0,0,0.02,0,0,0.01,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.16
Cold meat cuts,Liver pork boiled (processed meat product),per 100g,,554,132,68.1,19.8,0,19.8,,,4.1,3,1.5,0.9,0.4,0,0.4,0,3.9,4,0,0,0,0,,4.4,300,1325,300,10,225,21,23.3,4.9,18.4,2.5,50,0.67,7,15771,15772,15770,11,,,,,,1.5,0.8,0.7,0,0.2,,,,,,,,0.18,3,0.35,25,,10,542.1,542.1,0,15,0,0,0,0.01,0,0.01,0,0.03,0.01,0.69,0.03,0.73,0,0.01,0,0.01,0.01,0.02,0,0,0,0,0,0,0.05,0.81,0,0,0.01,0,0.33,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19
Cold meat cuts,Liver pate,per 100g,,1317,318,53.5,14.2,0,14.2,,,28.3,25.2,8.5,11.7,3.4,0.4,3.1,0.2,1.7,0.1,1.6,0,0,0,,,246,800,121,12,180,9,3.5,0.8,2.7,0.26,17,1.5,2.7,2196,2196,2196,0,,,,,,0.9,0.4,0.5,0,0,0,0,0.1,0,1,1,,0.05,0.62,0.115,9.43,,4.6,61.6,61.6,0,0,0,0,0,0,,0.03,0,0.3,0.03,5.09,0.1,2.87,,0.05,,0,,0,,,,,,0,0.55,10.81,0.25,0,,0.08,3.07,,0,0,0,0.35,,,0,,,0,0,,0,,,,,,,,0,,,,,,,0.18,0,,,,,,,0.4
Cold meat cuts,Luncheon meat tinned,per 100g,,1158,279,54.4,12.9,0,12.9,2.1,,23.8,22.8,9.1,10.6,2.9,0.3,2.7,0,3.3,0,3.3,0,0.2,0,,,64,920,120,39,200,10,1,0.4,0.6,0.1,8,1.5,2.3,0,0,0,0,0,,,0,,0.7,0.3,0.5,0,0.3,0.2,0.3,0,0,11.6,3.9,7.7,0.06,0.15,0.1,1,,1.2,13,13,0,27,0,0,0.01,0.05,0,0.04,0,0.39,0.01,5.61,0.08,2.88,0,0.04,0,0.02,0,0,0,0,0,0,0,0.01,0.6,9.8,0.17,0,0.02,0,2.52,0,0,0,0,0.2,0,0,0.1,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.21
Meat and poultry,Partridge raw,per 100g,,1039,248,55,35,0,35,,,12,11.3,3.1,5.5,2.8,0,1.7,,0,0,0,0,0,0,,,109,100,400,45,300,,8,3.1,4.9,,,,0.4,,,,,,,,,,,,,0,,,,,,,,,0.04,0.07,0.379,,,0,20,20,0,0,0,0,0,0,,0,,0.1,0,2.34,0.19,0.43,,0,,0,,0,,,,,,0,0.85,4.42,0,0,,0.19,1.72,,,,,0,,0,0,,,,,,0,,,,0,0,,,0,,1.06,,,,,,,,,,,,,
Cold meat cuts,Beef salted cooked,per 100g,,765,184,66.6,17.3,0,17.3,,,12.7,12.1,5,5.6,0.6,0.1,0.4,0.5,0.1,0.1,0,0,0,0,,3.9,,1200,350,10,175,,4,2.6,1.4,,,,11,17,20,15,27,0,,,0,,0.4,,,0,,,,,,,,,0.01,0.1,0.15,1.8,,1.7,15,15,0,0,0,0,0,0.02,0,0.02,0,0.33,0.06,2.73,0.13,1.72,0,0.01,0,0.02,0.01,0,0,0,0,0,0,0.08,0.47,5.02,0.03,0,0.01,0,0.39,0,0,0,0,0.09,0,0,0.01,0,0,0,0.04,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0.06,0.35,0.03,0,0,0,0,0,0,0.39
Meat and poultry,Venison raw,per 100g,,512,122,75,22.4,0,22.4,,,3.6,3.1,2.1,1,0,,,,0,0,0,0,0,0,,,60,84,342,20,220,25,3,2.5,0.5,0.21,9,2.4,2.9,8,8,8,0,,,,,,0.4,,,0,0.8,,,,,,,,0.22,0.25,0.5,1.4,,0,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold meat cuts,Beef smoke-dried,per 100g,,457,108,69.9,22,0,22,,,2,1.9,0.8,0.9,0.1,0,0.1,0,0.5,0.5,0,0,0,0,,,23,1800,268,5,190,21,2.5,2.1,0.4,0.08,7,3.3,9,2,2,2,,,,,,,0.1,0.1,0.1,0,0.6,0.6,0,0,0,,,,0.04,0.17,0.41,1.3,,4,5,5,0,0,0,0,0,0,0,0.01,0,0.04,0.01,0.48,0.02,0.27,0,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0.79,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.01,0,0,0,0,0,0,0.08
Meat and poultry,Bacon fat smoked raw,per 100g,,2792,678,10.5,5,0,5,0.8,11,73.2,69.5,28.4,32.8,7.2,0.5,6.7,0.1,0,0,0,0,0,0,,,57,1176,29,3,21,2,0.4,0.2,0.1,0.03,3,0.31,1,32,32,32,0,0,,,0,,2.6,0.4,2.2,0,0.9,0.9,0,0,0,0,0,,0.02,0.03,0.025,0.65,0.5,0.3,1.4,1.4,0,0,,,0.03,0.12,,0.2,,1.22,0.04,17.08,0.29,9.15,0,0.18,0,0.03,0,0.06,0,0,,,,0.02,1.38,30.55,0.81,0,0.03,0,6.23,,,,,0.36,0,,0.38,0,0,0.08,0.07,,0,,0,,0,0,,0.03,0,,,,,0,0,0.11,0,,0,0,0,,,1.08
Cold meat cuts,Processed meat products av,per 100g,,994,239,59.2,16.6,0,16.6,0.1,78,17.9,16.7,6.2,7.6,2.4,0.2,2.1,0.1,2.7,0.8,1.8,0,0.2,0,0.2,2.9,52,991,318,16,218,17,1.9,0.8,1,0.12,12,2.34,5.1,803,806,800,27,0,0,10,10,6,0.6,0.2,0.3,,0.7,0.6,0.1,0,0.2,2.2,0.6,1.7,0.29,0.22,0.183,1.83,7.2,5.9,11.9,11.9,0,14,0,0,0,0.01,0,0.02,0,0.25,0.02,3.77,0.06,1.97,0,0.04,0,0.02,0,0.01,0,0,0,0,0,0.01,0.35,7.05,0.13,0,0,0.09,1.98,0,0,0,,0.18,0,0,0.06,0,0,0,0.05,0.05,0.01,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01,0.06,0,0,0,0,0,0,0,0.13
"Fish, crustacean and shellfish",Kipper smoked,per 100g,,1005,242,55.6,20.8,0,20.8,,,17.5,16.1,4.1,9.2,2.8,2.5,0.3,0,0.3,0.3,0,0,0,0,,,82,1625,311,100,200,32,0.8,0.3,0.5,0.21,50,0.87,25,26,26,26,,,,,,,8.9,0.3,8.6,0,1,,,,,,,,0.05,0.12,0.175,8.05,,4,6,6,0,0,,,0,0,,0.02,,1.26,0.08,2.42,0.05,0.21,,0.03,,0,,0,,,,,,0.02,0.9,2.13,2.22,3.8,0.18,,0.21,,,,,0.15,0.02,0.35,0.03,,,0.02,0.05,,0.9,,,,0,0,,0.1,1,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Shrimps Dutch boiled,per 100g,,397,94,75.9,19.8,0,19.8,,244,1.6,1.3,0.4,0.3,0.6,0.4,0.1,0,0.1,0.1,0,0,0,0,,2.7,202,953,142,134,139,35,0.2,0.1,0.2,0.71,31,1.8,55,1,1,0,7,0,1,5,4,0,0.1,0,0.1,0,5.1,5.1,0,0,0,,,,0.03,0.34,0.042,16.78,5.4,1.3,12.5,12.5,0,0,,,,,,0,,0.03,0.02,0.26,0.02,0.09,,0,0,0,0,0,,,0.01,,,0,0.08,0.19,0.01,0,0,0.01,0.03,,,,,0.01,0,0,0.01,,0,0.01,0.08,,0.23,,,,0,0.01,,0.03,0.16,,,,,,,0.01,0,,,,,,,
"Fish, crustacean and shellfish",Herring fillet in tomato sauce tinned,per 100g,,838,201,67.4,12,1.2,10.8,,,14.6,13.4,3.9,5.6,4,3.2,0.8,0,5.4,4.5,0.9,0,0.5,0,,,90,454,295,64,128,23,1.4,0.3,1.1,0.12,24,0.53,18,32,41,23,111,0,20,,,4246,6.2,0.1,6.1,0,3.6,,,,,,,,0.05,0.08,0.15,10.4,,2.6,10,10,0,4,,,0,0,,0.01,,0.98,0.07,2.28,0.07,0.38,,0.05,,0.01,,0.01,,,,,,0,0.87,1.69,1.11,1.86,0.11,,0.62,,,,,0.17,0.01,0.26,0.01,,,0.01,0.13,,1.15,,,,0,0.01,,0.19,1.41,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Herring salted,per 100g,,719,172,66.5,17.6,0,17.6,,219,10.1,9.3,2.4,5.1,1.4,1.1,0.2,0,2.8,0,2.8,0,0,0,,3.1,55,1097,293,51,297,40,1.4,0.5,0.9,0.09,46,0.73,28.9,26,26,26,0,0,0,0,0,0,6.2,0.1,6.1,0,0.4,0.4,0,0,0,,,,0,0.18,0.343,9.26,10.9,7.3,13.5,13.5,0,0,0,0,0,0,0,,0.01,0.76,0.05,1.4,0.03,0.11,0,0.02,,0.01,0,0,,,,,0,0.01,0.48,0.75,1.37,2.31,0.13,0.03,0.13,,,,,0.09,0,0.24,0.02,,,,0.02,0.06,0.33,0.02,,,,,,,0.42,,0.12,,,,,0,0,,,,,,,0.39
"Fish, crustacean and shellfish",Crab in water tinned,per 100g,,360,85,79.2,18.1,0,18.1,,,1.4,1.1,0.3,0.2,0.5,0.4,0.1,0,0,0,0,0,0,0,,,118,691,100,120,140,32,2.8,0.7,2.1,0.42,26,5.7,60,0,0,0,,,,,,,0,0,0,0,2.4,,,,,,,,0,0.05,0.3,0,,1.1,20,20,0,0,,,0,0,,0,,0,0.01,0.16,0.02,0.11,,0,,0,,0,,,,,,0,0.07,0.17,0.01,0,0,,0.03,,,,,0.01,0,0.01,0.02,,,0,0.1,,0.19,,,,0,0,,0.02,0.14,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Lobster boiled,per 100g,,365,86,80.7,19.7,0,19.7,3.2,,0.8,0.6,0.1,0.2,0.3,0.3,0.1,0,0,0,0,0,0,0,,,133,216,214,125,197,53,1.7,0.4,1.3,0.32,49,1.4,139,0,0,0,0,0,,,0,,0,0,0,0,3.6,,,,,,,,0.08,0.06,0.1,2.5,,2.7,5,5,0,0,,,0,0,,,,0.01,0,0.09,0,0.03,,0,,0,,0,,,,,,0,0.03,0.12,0.02,0.01,0,,0.01,,,,,0,0,0,0.01,,,0,0.03,,0.15,,,,0,0,,0.01,0.11,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Mackerel raw,per 100g,,968,233,61.9,18,0,18,2.9,,17.9,16.6,4.3,8.5,3.9,3.5,0.3,0,0,0,0,0,0,0,,,60,85,335,20,220,37,1,0.4,0.6,0.08,42,0.5,56.4,54,54,54,,,,,,,8,0,8,0,0.4,,,,,,,,0.17,0.3,0.4,8.8,,11.3,1,1,0,0,,,0,0,,0,,1.12,0.1,2.6,0.05,0.43,,0,,0,,0,,,,,,0,0.82,2.91,1.68,3,0.1,,0.32,,,,,0.25,0,0.65,0,,,0,0,,0.85,,,,0,0,,0.13,1.67,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Oysters,per 100g,,240,57,84.7,6,0,6,,,1.9,1.5,0.8,0.6,0.1,0.1,0,0,4,0,4,0,0,0,,,45,500,250,70,175,32,7,1.9,5.1,7.93,36,59.2,60,75,75,75,,,,,,,1,,,0,0.9,,,,,,,,0.15,0.2,0,16.2,,1,15,15,0,0,,,,,,0,,0.09,0.03,0.51,0.05,0.14,,0.01,,0,,0,,,0.01,,,0,0.08,0.27,0.15,0.09,0,,0.01,,,,,0.01,0,0.01,0,,,0,0.01,,0.03,,,,0,0,,0,0.01,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Sardines/pilchards in oil tinned,per 100g,,961,231,62.3,21.7,0,21.7,,,16,15,3.6,4,7.4,3,4.5,0.1,0,0,0,0,0,0,,,80,458,368,500,520,46,3.1,0.8,2.3,0.11,49,2.2,23,7,7,7,,,,,,,3.3,0,3.3,0,0.3,,,,,,,,0.01,0.29,0.18,15,,6.9,8,8,0,0,,,0,0,,0,,0.47,0.05,2.29,0.05,0.63,,0.06,,0.03,,0.02,,,,,,0,0.66,3.08,0.15,0.08,0.03,,4.34,,,,,0.5,0.02,0.17,0.02,,,0,0.08,,1.14,,,,0,0,,0.14,1.04,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Liver haddock tinned,per 100g,,1684,409,44.4,7,0,7,,,42.3,39.3,8.1,16.5,14.8,12.7,2.1,0,0,0,0,0,0,0,,,340,250,150,12,175,,2,0,2,,,,,2538,2538,2538,,,,,,,,,,0,,,,,,,,,0.06,0.65,0.1,,,5.4,300,300,0,0,,,0,0,,0,,1.1,0.2,5.43,0.16,1.18,,0,,0,,0,,,,,,0.04,4.33,11.13,0.63,0.2,0.16,,1.26,,,,,0.87,0.04,0.83,0.24,,,0.12,0.43,,4.49,,,,0,0.12,,0.55,5.86,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Stockfish soaked,per 100g,,586,138,66.6,32.5,0,32.5,,,0.9,0.7,0.2,0.1,0.4,0.4,0,0,0,0,0,0,0,0,,,59,147,,,,,0.5,0.2,0.3,,,,230,2,2,2,,,,,,,,,,0,,,,,,,,,,,0.2,1,,,0,0,0,2,0,0,0,0,0,0,0,0.01,0,0.13,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.05,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.11,0,0,0,0,0,0,0.01,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
Eggs,Egg white chicken raw,per 100g,,185,44,88,10.5,0,10.5,,,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,,,0,159,142,12,12,10,0.1,0,0.1,0.02,6,0.09,2.8,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0.03,0.35,0,0.65,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Savoury snacks,Spring roll deep-fried in vegetable oil,per 100g,,757,181,61.2,7.1,6.9,0.2,,,8.2,7.5,1.5,3.4,2.5,0.3,2.3,0,18.6,2.9,15.7,0,2,0,,,99,608,166,34,81,16,1,0.1,0.9,0.09,3,0.73,2.1,8,9,6,20,,,,,,0.4,,,,1.2,1.1,0,0.1,1.6,,,,0.09,0.08,0.085,0.17,,0.7,3,3,0,5,0,0,0,0,0,0,0,0.02,0,1.16,0.01,0.25,0,0.03,0,0.02,0,0.01,0,0,0,0,0,0,0.02,3.38,0.03,0,0,0,2.26,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,
Mixed dishes,Infant food meal 8 months,per 100g,,313,74,83.1,3.4,1,2.4,,,2.1,2,0.9,0.4,0.8,0,0.4,0,9.7,1.8,7.8,0,1.7,0,,,,61,241,32,53,16,0.7,0.1,0.6,0.08,3,0.55,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sugar, sweets and sweet sauces",Sugar castor brown,per 100g,,1683,396,1,0,0,0,,,0,0,0,0,0,0,0,0,99,99,0,0,0,0,,,0,25,50,0,0,0,2,0,2,0.06,0,0.1,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
"Sugar, sweets and sweet sauces",Sugar castor white,per 100g,,1683,396,1,0,0,0,,,0,0,0,0,0,0,0,0,99,99,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
"Sugar, sweets and sweet sauces",Sugar granulated,per 100g,,1700,400,0,0,0,0,,,0,0,0,0,0,0,0,0,100,100,0,0,0,0,,,0,0,4,0,0,2,0.1,0,0.1,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
"Sugar, sweets and sweet sauces",Syrup Keukenstroop,per 100g,,1394,328,18,0,0,0,,,0,0,0,0,0,0,0,0,82,82,0,0,0,0,,,0,0,500,50,25,3,10,0,10,0.06,0,0.1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0.04,0,0,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
"Sugar, sweets and sweet sauces",Syrup sugar,per 100g,,1275,300,25,0,0,0,,,0,0,0,0,0,0,0,0,75,75,0,0,0,0,,,0,0,0,0,0,,0,0,0,0.06,0,0.1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Alcoholic beverages,Advocaat liqueur,per 100g,,988,236,53.7,4.3,0,4.3,,65,3.2,2.7,1.1,1.3,0.2,0,0.2,0,23.6,23.6,0,0,0,13.6,,0.3,125,55,52,20,81,4,0.8,0,0.8,0.09,6,0.47,11,68,68,68,0,0,87,49,0,0,0.4,0,0.3,,1.1,1,0,0,0.3,,,,0.02,0.13,0.031,0.53,1.1,0,28.8,28.8,0,0,0,0.01,0,0,0,0,0,0.01,0,0.77,0.01,0.26,0,0,0,0,0,0.01,0,0,0,0,0,0,0.08,1.14,0.06,0.02,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
Non-alcoholic beverages,Juice apple,per 100g,,194,46,88.6,0.1,0.1,0,,2,0,0,0,0,0,0,0,0,11.2,10.5,0.7,0,0,0,,0.2,0,4,99,8,8,6,0.1,0,0.1,0.01,0,0.03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.021,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Non-alcoholic beverages,Fruit juice drink redcurrent,per 100g,,241,57,85,0,0,0,,,0,0,0,0,0,0,0,0,14,14,0,0,0.4,0,,,0,2,80,7,8,10,0,0,0,0,0,0.2,,0,0,0,,,,,,,0,0,0,0,0.1,,,,,,,,0,0,0,0,,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
